Hospital_Id,Hospital_name,State,Insurance
1000,Brigham And Women's Hospital,Texas,no
1001,Cleveland Clinic,Massachusetts,yes
1002,NYU Langone Hospital,Washington,yes
1003,Cedars-Sinai Medical Center,Delaware,no
1004,Hospitals of the University of Pennsylvania,Connecticut,no
1005,New York-Presbyterian Hospital,Idaho,yes
1006,The Mount Sinai Hospital,Florida,yes
1007,UCLA Medical Center,Minnesota,yes
1008,NYU Langone Hospital,Vermont,yes
1009,UCSF Medical Center,PennsylvaniaRhode Island,yes
1010,Mayo Clinic,Louisiana,no
1011,Mayo Clinic - Phoenix,North Dakota,no
1012,Stanford Health Care-Stanford Hospital,Missouri,yes
1013,Ronald Reagan UCLA Medical Center,Michigan,no
1014,Massachusetts General Hospital,Delaware,yes
1015,Northwestern Memorial Hospital,Oklahoma,yes
1016,UCLA Medical Center,West Virginia,yes
1017,Massachusetts General Hospital,South Dakota,no
1018,UCLA Medical Center,Missouri,yes
1019,Cedars-Sinai Medical Center,Virginia,no
1020,Mayo Clinic - Phoenix,North Carolina,yes
1021,Massachusetts General Hospital,Vermont,no
1022,Cleveland Clinic Fairview Hospital,South Carolina,yes
1023,Ronald Reagan UCLA Medical Center,New Mexico,yes
1024,Cleveland Clinic,Texas,yes
1025,The Johns Hopkins Hospital,Florida,no
1026,Mayo Clinic,IllinoisIndiana,yes
1027,The Johns Hopkins Hospital,Washington,yes
1028,Ronald Reagan UCLA Medical Center,Michigan,yes
1029,Duke University Hospital,New Hampshire,yes
1030,Cedars-Sinai Medical Center,New York,yes
1031,NYU Langone Hospital,Ohio,no
1032,Stanford Health Care-Stanford Hospital,Tennessee,no
1033,UCLA Medical Center,Alaska,no
1034,University of Michigan Hospitals,Georgia,no
1035,Mayo Clinic - Phoenix,IllinoisIndiana,no
1036,Northwestern Memorial Hospital,Louisiana,yes
1037,Duke University Hospital,PennsylvaniaRhode Island,no
1038,NYU Langone Hospital,Iowa,yes
1039,NYU Langone Hospital,Georgia,yes
1040,University of Wisconsin Hospital,Alaska,no
1041,Massachusetts General Hospital,Kentucky,yes
1042,New York-Presbyterian Hospital,New Jersey,no
1043,NYU Langone Hospital,New Jersey,yes
